Date,Ticker,Close,Volume,High,Low,DailyReturn,LogReturn,CumReturn,^VIX,SMA50,SMA200,EMA20,GoldenCross,DeathCross,RSI14,RSI_Overbought,RSI_Oversold,BB_Upper,BB_Mid,BB_Lower,BB_Upper_Breach,BB_Lower_Breach,ZScore,is_statistical_anomaly
2023-07-19,XOM,92.54953002929688,15556500,93.25990710562282,91.80272246849212,0.0069362808777886,0.0069123355455136,0.5798709472399566,13.760000228881836,95.70752990722659,97.72092708587647,94.68122390544816,0,0,41.104420641316715,0,0,98.82418687351723,94.93384399414063,91.04350111476403,0,0,0.572022148949195,0
2023-07-20,XOM,94.17975616455078,15740200,94.40744147745409,93.22347507099524,0.0176146343988765,0.017461294788515,0.6076997963729953,13.989999771118164,95.6208026123047,97.80379570007324,94.63346507298175,0,0,47.19009313402496,0,0,98.81533073828862,94.91289710998535,91.01046348168208,0,0,1.2819716153452299,0
2023-07-21,XOM,94.61691284179688,17121500,95.06317413202042,94.04314832579516,0.0046417265774429,0.0046309869853099,0.6151622992463694,13.600000381469728,95.54227661132815,97.86836196899414,94.63188867001176,0,0,48.72028342755917,0,0,98.82540391991982,94.93976402282715,91.05412412573448,0,0,0.43824140669775274,0
2023-07-24,XOM,96.1014175415039,15090900,96.68429835768316,94.68066335735377,0.0156896336513239,0.0155678237985291,0.6405036040089751,13.90999984741211,95.51872222900393,97.92546245574951,94.77184380063005,0,0,53.63347536022274,0,0,98.91631547212832,95.08184013366699,91.24736479520566,0,0,1.1694148898895487,0
2023-07-25,XOM,96.24713897705078,14116100,96.62053928956772,95.20889447125592,0.0015163297199434,0.0015151812528568,0.6429911483794082,13.859999656677246,95.53329559326174,97.96618103027343,94.91234810314631,0,0,54.0983893197895,0,0,99.01425516289879,95.14513664245605,91.27601812201331,0,0,0.1397378257943035,0
2023-07-26,XOM,95.70980072021484,15159600,96.28357219122029,95.29996991098646,-0.0055829010872111,-0.0055985437275294,0.6338184913108424,13.1899995803833,95.53730300903322,97.99114669799805,94.98829597143856,0,0,52.02679771799038,0,0,99.0470382600777,95.16972732543945,91.29241639080121,0,0,-0.37734813346082907,0
2023-07-27,XOM,96.01033782958984,17677900,97.44020126831668,95.39103352150664,0.0031400870873563,0.0031351673102268,0.6389488236584917,14.40999984741211,95.54367797851565,98.02219276428222,95.0856332912625,0,0,53.108356888227384,0,0,99.04877050156841,95.17063789367675,91.2925052857851,0,0,0.24128879798264655,0
2023-07-28,XOM,94.8628158569336,17566400,95.77355714458432,93.18704827448586,-0.0119520668148569,-0.0120240670415237,0.6193599978119941,13.329999923706056,95.57355072021487,98.05723419189454,95.06441258323116,0,0,48.60268630183654,0,0,98.81753228706653,95.0549747467041,91.29241720634168,0,0,-0.840897443680869,0
2023-07-31,XOM,97.66788482666016,24197000,98.23254687488505,95.8008695264463,0.0295697417833031,0.0291409885455795,0.6672440548015053,13.630000114440918,95.61763061523439,98.11003406524658,95.31236232070059,0,0,57.9860279838599,0,0,98.81574082704988,95.05451889038086,91.29329695371185,0,0,1.945506544883403,0
2023-08-01,XOM,97.10323333740234,14177400,97.740749424906,96.11052177439896,-0.0057813424572462,-0.0057981191098482,0.6576051459608898,13.93000030517578,95.63311325073244,98.15809959411621,95.48292146514837,0,0,55.778503224304195,0,0,98.67106193930825,95.01626853942871,91.36147513954917,0,0,-0.42666136939589183,0
2023-08-02,XOM,95.8919448852539,13484100,96.8846494901479,95.23621008828708,-0.0124742339726175,-0.0125526903676273,0.6369277915359588,16.09000015258789,95.61544494628907,98.18482040405273,95.52187607658699,0,0,51.26938031840018,0,0,98.45424230687365,94.94249877929687,91.43075525172009,0,0,-0.9273028281575473,0
2023-08-03,XOM,97.5586166381836,16280400,98.25077506647396,95.90106764680596,0.0173807273898141,0.0172314102251547,0.6653787872374557,15.920000076293944,95.65460708618166,98.23178531646728,95.71585136816762,0,0,56.482271045917315,0,0,98.78224221608323,95.13375473022461,91.48526724436599,0,0,1.1095273889149488,0
2023-08-04,XOM,97.83181762695312,14279600,99.48936632608006,97.74985425453002,0.0028003778465079,0.0027964640934221,0.6700424770992799,17.100000381469727,95.67318603515626,98.2737608718872,95.91737196424243,0,0,57.288828020282295,0,0,99.12136492502862,95.32774238586425,91.5341198466999,0,0,0.09539944925298399,0
2023-08-07,XOM,97.63145446777344,12410800,98.74255985042764,97.00304776078028,-0.0020480367639054,-0.0020501368590698,0.6666221687088969,15.770000457763672,95.66608215332033,98.31393466949463,96.08061791695967,0,0,56.46231857053235,0,0,99.37316967820338,95.44203987121583,91.51091006422827,0,0,-0.25394621662892686,0
2023-08-08,XOM,98.1141586303711,14065600,98.1323703982051,95.482110006277,0.0049441459745638,0.0049319638219153,0.6748621919954378,15.989999771118164,95.70378692626954,98.3432335281372,96.27428846109409,0,0,58.03315883015937,0,0,99.60743532301328,95.52218551635742,91.43693570970157,0,0,0.26603455340911586,0
2023-08-09,XOM,99.78079986572266,19919600,100.56403782390166,98.64237340888153,0.0169867556183236,0.0168440939907908,0.7033126667452343,15.960000038146973,95.78739273071291,98.38024341583252,96.60824192820156,0,0,62.99731793505141,0,0,100.13128503013573,95.66198387145997,91.1926827127842,0,0,1.0611702903560147,0
2023-08-10,XOM,100.29082489013672,15837200,101.66603911909615,99.67152058727936,0.0051114545593984,0.005098435421185,0.7120190720417503,15.850000381469728,95.89813873291017,98.41122596740723,96.95896411505254,0,0,64.38566576981714,0,0,100.8324159532977,95.91608085632325,90.9997457593488,0,0,0.2463910474773929,0
2023-08-11,XOM,101.8481903076172,14047000,102.06676625058772,100.22707207947806,0.0155284934507864,0.015409160188033,0.738604148989572,14.84000015258789,96.07391159057619,98.4467066192627,97.4246047048206,0,0,68.29719433630206,0,0,101.62721424778819,96.41197929382324,91.19674433985828,1,0,0.955957626608469,0
2023-08-14,XOM,101.93016052246094,12973400,101.98480972317476,100.8919160381556,0.0008048274063208,0.0008045037064138,0.7400034252574219,14.81999969482422,96.22983047485353,98.48579692840576,97.85370525888158,0,0,68.49333800770638,0,0,102.2894436705412,96.89193992614746,91.49443618175371,0,0,-0.04964337172868606,0
2023-08-15,XOM,99.31327056884766,14909600,101.79242661892994,99.13880900049315,-0.0256733624297259,-0.0260086747108104,0.6953316866918235,16.459999084472656,96.28969589233401,98.5062031173706,97.99271147887835,0,0,56.47950585802137,0,0,102.21878707198967,97.26200332641602,92.30521958084238,0,0,-1.7162448411172573,0
2023-08-16,XOM,97.64212799072266,13695100,100.38757193571612,97.58703781301824,-0.0168269816163842,-0.0169701637598224,0.6668043715661864,16.780000686645508,96.32469955444338,98.516431350708,97.95932257524449,0,0,50.399897428125,0,0,101.94967807831752,97.51663322448731,93.0835883706571,0,0,-1.0917507258343704,0
2023-08-17,XOM,99.53363800048828,16709500,101.14050021496224,98.633792078023,0.0193718638531243,0.0191866178494749,0.6990934789219592,17.889999389648438,96.38186859130862,98.5221176147461,98.10925737764865,0,0,56.153027053325864,0,0,102.01073101157513,97.78432731628418,93.55792362099322,0,0,1.2091730397845706,0
2023-08-18,XOM,101.0395050048828,16224000,101.18641449064938,98.81744561676392,0.0151292270095375,0.0150159216403732,0.7247994498749943,17.299999237060547,96.42580383300783,98.53484439849854,98.38832858024237,0,0,60.1190044333316,0,0,102.29436462669067,98.10545692443847,93.91654922218628,0,0,0.8702513112844458,0
2023-08-21,XOM,99.81829071044922,11092400,101.90262470263698,99.29491295567048,-0.0120865031392877,-0.0121601388520297,0.7039526559094385,17.1299991607666,96.45150756835939,98.53657642364502,98.52451544978588,0,0,55.71758416268335,0,0,102.43541169138113,98.29130058288574,94.14718947439034,0,0,-0.944492954104791,0
2023-08-22,XOM,99.2581787109375,10518800,100.74567662400123,99.12044625513025,-0.0056113162780605,-0.0056271188564831,0.6943912386342892,16.969999313354492,96.48058074951173,98.54572971343994,98.59438814132413,0,0,53.773059363671294,0,0,102.49096706166786,98.44185256958008,94.3927380774923,0,0,-0.4603942646393452,0
2023-08-23,XOM,98.38587951660156,11435600,98.52361196496616,97.07284325220404,-0.0087881845674024,-0.0088270284067361,0.6795006156997814,15.979999542236328,96.5098767089844,98.54389957427979,98.57453017706484,0,0,50.79963381933869,0,0,102.41612700131306,98.57565650939941,94.73518601748576,0,0,-0.6447762695393906,0
2023-08-24,XOM,97.65131378173828,10818500,98.95516605023565,97.39421694066708,-0.0074661703333082,-0.0074941816951919,0.6669611780280709,17.200000762939453,96.52411697387697,98.53301898956299,98.48660480608136,0,0,48.373845963334276,0,0,102.33402137044533,98.65770530700684,94.98138924356834,0,0,-0.5931930683085112,0
2023-08-25,XOM,99.3958969116211,13579300,100.02027788375156,97.89922218675312,0.017865434291874,0.0177077230371866,0.6967421634212363,15.68000030517578,96.59656372070314,98.52495040893555,98.573204054228,0,0,53.99289506507453,0,0,102.10645327703462,98.88435935974121,95.6622654424478,0,0,1.1836069963382216,0
2023-08-28,XOM,100.23147583007812,10382100,101.03949543870256,99.57036569331125,0.0084065735550431,0.0083714351075275,0.71100595122198,15.079999923706056,96.67242553710939,98.51945972442627,98.73113469954706,0,0,56.438447040054754,0,0,102.23483904653266,99.01253890991211,95.79023877329156,0,0,0.4342317789590556,0
2023-08-29,XOM,100.82830810546876,9665000,101.0211307342078,99.5520009399841,0.0059545394343232,0.0059368812273722,0.7211942036308929,14.449999809265137,96.7740672302246,98.53961910247803,98.93086550011103,0,0,58.14964649203916,0,0,102.38686407360781,99.19879264831543,96.01072122302305,0,0,0.21753419272059044,0
2023-08-30,XOM,101.81078338623048,11922100,102.04951915307232,100.98440274126634,0.0097440421169621,0.0096968750893973,0.7379655924425434,13.880000114440918,96.93925628662112,98.55758003234864,99.20514339402717,0,0,60.874312509674944,0,0,102.48291015608294,99.49473457336425,96.50655899064557,0,0,0.504746927491627,0
2023-08-31,XOM,102.09542846679688,17479800,102.30661213289136,101.57205080881285,0.0027958244804635,0.0027919234326059,0.7428246391920976,13.56999969482422,97.08919097900393,98.56163139343262,99.48040863905285,0,0,61.653262011691346,0,0,102.77890772172775,99.72157516479493,96.6642426078621,0,0,0.0020824908739629933,0
2023-09-01,XOM,104.23485565185548,14843500,104.51032055424984,103.02282269097448,0.0209551712274205,0.0207386314873759,0.7793458279257355,13.09000015258789,97.29229660034181,98.57490146636962,99.93321311646262,0,0,66.97516010275108,0,0,103.57050092892688,100.04172706604005,96.51295320315323,1,0,1.359196186929331,0
2023-09-05,XOM,104.24403381347656,18304000,106.3559125986128,104.21648872586086,8.805271100253975e-05,8.804883459013305e-05,0.7795025041496955,14.010000228881836,97.5119793701172,98.58481258392334,100.3437674685592,0,0,66.99632145180493,0,0,104.17849570923525,100.3723560333252,96.56621635741516,1,0,-0.21172865750893682,0
2023-09-06,XOM,105.14389038085938,13325500,105.2173416201708,103.96858648751116,0.0086322116908188,0.0085951671828524,0.7948635464698579,14.449999809265137,97.71523300170901,98.60468864440918,100.8009220316354,0,0,69.08771611778994,0,0,104.92932899861214,100.72384262084962,96.51835624308711,1,0,0.43697705847138496,0
2023-09-07,XOM,104.62967681884766,13248500,106.37427138604474,104.40012508646284,-0.004890570057367,-0.0049025680290415,0.7860856405524328,14.399999618530272,97.90346679687502,98.62132164001464,101.16556534470324,0,0,66.4946403405287,0,0,105.48990123660468,100.96628646850587,96.44267170040706,0,0,-0.6204737223030147,0
2023-09-08,XOM,106.15391540527344,14283200,106.55792874059532,104.96942749474096,0.0145679374415423,0.0144628444699127,0.8121052244292377,13.84000015258789,98.10670257568361,98.64996627807618,101.64064630285279,0,0,70.07953810062159,1,0,106.32607351717418,101.2594409942627,96.19280847135123,0,0,0.8580554814167002,0
2023-09-11,XOM,104.82251739501952,14383600,107.13639601694965,104.28077160717837,-0.0125421469869566,-0.0126214636108189,0.7893775343486142,13.800000190734863,98.25963134765627,98.67692676544189,101.9436816449639,0,0,63.67120343844698,0,0,106.71639703966878,101.40815734863281,96.09991765759685,0,0,-1.2275061771025482,0
2023-09-12,XOM,107.88013458251952,20145800,108.04541211678055,105.84171399508786,0.0291694691511508,0.0287521363441253,0.8415727271365585,14.229999542236328,98.46369400024416,98.70479438781739,102.5090581152073,0,0,70.37187098539374,1,0,107.75260540638462,101.70565605163574,95.65870669688687,1,0,1.9864194185106443,0
2023-09-13,XOM,106.91602325439452,13472800,108.311694785048,106.4201906433383,-0.0089368754669798,-0.0089770488674284,0.8251148210107526,13.479999542236328,98.64464965820312,98.7303950881958,102.92876908084418,0,0,66.22412594572123,0,0,108.44720546300537,102.08579368591309,95.7243819088208,0,0,-0.9365904109802256,0
2023-09-14,XOM,108.82589721679688,15210700,108.95445264959768,107.73323558358308,0.0178633090183126,0.0177056350639551,0.8577174110523702,12.81999969482422,98.87382080078125,98.7673371887207,103.49040033188729,1,0,69.99674947234017,0,0,109.32015066676145,102.6449821472168,95.96981362767214,0,0,1.0449498097639998,0
2023-09-15,XOM,107.15474700927734,34568400,108.81670633298138,106.97110842357093,-0.0153561812974567,-0.0154753085831668,0.829189965688808,13.789999961853027,99.14224578857421,98.81115577697754,103.83938572973396,1,0,63.33100425669609,0,0,109.82237340169557,103.02603759765626,96.22970179361694,0,0,-1.4059906632109378,0
2023-09-18,XOM,108.01786041259766,14045300,108.56878315793632,107.15474367483732,0.0080548312362267,0.0080225642374496,0.8439237821614307,14.0,99.42356170654297,98.8560194015503,104.2373356995305,1,0,65.17556101283424,0,0,110.45257714791325,103.374955368042,96.29733358817074,0,0,0.35224190505965736,0
2023-09-19,XOM,107.73322296142578,12562900,109.11971040996195,107.07211283757016,-0.0026350961783971,-0.0026385741555449,0.8390648656498014,14.109999656677246,99.67131607055664,98.89587589263915,104.57027734352053,1,0,64.03163881310404,0,0,110.89593945522095,103.77070198059081,96.64546450596067,0,0,-0.45345386393119014,0
2023-09-20,XOM,106.87928771972656,11879900,108.36677845825494,106.80582948426856,-0.0079263872204489,-0.0079579680194261,0.8244877254011382,15.140000343322754,99.87867691040039,98.93388187408448,104.79018309363539,1,0,60.595507771107236,0,0,111.07310757303517,104.15175743103028,97.23040728902538,0,0,-0.8110088430914635,0
2023-09-21,XOM,105.3734359741211,14400600,107.76995677481624,105.22651949336944,-0.0140892756466932,-0.0141894717310137,0.7987820149239533,17.540000915527344,100.04644897460938,98.96856983184814,104.84573098701499,1,0,54.9913372136628,0,0,110.8812857235111,104.50113525390626,98.12098478430141,0,0,-1.186664425126554,0
2023-09-22,XOM,105.53871154785156,13197300,107.136389716789,105.41934015812193,0.0015684747508002,0.0015672459789755,0.801603359096555,17.200000762939453,100.25304550170898,99.0175691986084,104.91172913566609,1,0,55.47803168335761,0,0,110.40914331943696,104.89550514221192,99.38186696498687,0,0,-0.016378738271532717,0
2023-09-25,XOM,106.72319793701172,11316000,107.108843178541,105.43770679321766,0.0112232409491099,0.0111607276798729,0.8218231876904216,16.899999618530273,100.54890502929688,99.08579666137695,105.08424997388948,1,0,58.90751570404014,0,0,110.17825058015599,105.26187019348144,100.3454898068069,0,0,0.7181048288216895,0
2023-09-26,XOM,106.8884735107422,11805400,107.18229945205,105.93353745015108,0.0015486377556641,0.0015474398528006,0.8246445318630233,18.940000534057617,100.84005554199219,99.15588096618653,105.25608078692308,1,0,59.37771508971833,0,0,109.94604102637878,105.59472007751465,101.24339912865052,0,0,-0.0091244379996614,0
2023-09-27,XOM,110.36848449707033,23976200,110.64394941393935,107.79750896286929,0.0325574018603453,0.032038639329831,0.8840502171391695,18.21999931335449,101.20918518066406,99.23991569519043,105.74297637836568,1,0,67.74635813359609,0,0,110.31327446612143,106.07172889709473,101.83018332806803,1,0,2.1510608403956173,0
2023-09-28,XOM,109.69818878173828,16808100,110.8275794416668,108.52288497076476,-0.00607325287093,-0.0060917700823531,0.8726079037489527,17.34000015258789,101.55215835571289,99.32454139709472,106.11966327392498,1,0,64.97000865867915,0,0,110.5012307651111,106.46609916687012,102.43096756862914,0,0,-0.7707709510805558,0
2023-09-29,XOM,107.96278381347656,18813600,109.43191365420942,107.18230924234008,-0.0158198142333468,-0.0159462830769843,0.842983594579747,17.520000457763672,101.82781890869141,99.38906593322754,106.29519856340609,1,0,58.30758412466137,0,0,110.27654924611303,106.7594669342041,103.24238462229516,0,0,-1.4126223114714054,0
2023-10-02,XOM,106.17227172851562,14395000,108.15560218942927,105.18061350342218,-0.0165845305365073,-0.0167235935367141,0.8124185768771572,17.610000610351562,102.05892608642579,99.43944103240966,106.28349124579748,1,0,52.343506412982386,0,0,110.18216426693243,106.85633773803711,103.53051120914179,0,0,-1.3649254990583137,0
2023-10-03,XOM,106.35591888427734,13297100,106.91602571677603,105.6213504794177,0.0017297092053498,0.001728214981183,0.8155535339735287,19.780000686645508,102.26401611328124,99.49427364349366,106.29038911612889,1,0,52.875924405357736,0,0,110.06519391833311,106.96193199157715,103.85867006482118,0,0,-0.03572501934516659,0
2023-10-04,XOM,102.38007354736328,19622200,104.75822615328836,101.46186660971875,-0.0373824548612105,-0.0380990954573048,0.747683685941652,18.57999992370605,102.3866748046875,99.53379669189454,105.91797810957979,1,0,41.94931396773029,0,0,110.46704305350605,106.82374114990235,103.18043924629865,0,1,-2.5729158011594757,0
2023-10-05,XOM,100.07537841796876,20128800,101.82915714089542,99.80909754878998,-0.0225111689173413,-0.0227684131902887,0.7083412832733376,18.489999771118164,102.47398635864258,99.56511150360107,105.36154004371208,1,0,37.15610509208476,0,0,111.24675862697482,106.5960262298584,101.94529383274197,0,1,-1.4976673482992704,0
2023-10-06,XOM,98.40424346923828,25367500,99.41426977802448,96.5127392724916,-0.0166987622245194,-0.0168397583994217,0.6798140983856256,17.450000762939453,102.52186447143555,99.58596500396729,104.69894036995267,1,0,34.112439134265244,0,0,112.13166775504061,106.20854263305664,100.28541751107267,0,1,-1.0844899283922786,0
2023-10-09,XOM,101.8475112915039,22369900,102.90345066515772,100.56202018468026,0.0349910501912655,0.034392779521748,0.7385925578142325,17.700000762939453,102.66155838012695,99.61722511291504,104.42737569581469,1,0,44.24648810600312,0,0,112.27185527171847,106.05979232788086,99.84772938404325,0,0,2.0406620231173154,0
2023-10-10,XOM,101.41595458984376,13892000,102.33416153771148,101.11295162112334,-0.0042372827395357,-0.0042462854624316,0.731225649577921,17.030000686645508,102.73651977539062,99.64018981933594,104.14057368572222,1,0,43.34660438630512,0,0,112.21673115714506,105.73658332824706,99.25643549934907,0,0,-0.28608336443671,0
2023-10-11,XOM,97.77986145019533,57939000,98.40424249029296,96.25564147326962,-0.0358532654388934,-0.0365117816800019,0.6691555568289831,16.09000015258789,102.75005233764648,99.654740524292,103.53479156805298,1,0,36.59363267173987,0,0,112.63838455073545,105.2797752380371,97.92116592533876,0,1,-1.956474291001822,0
2023-10-12,XOM,97.76151275634766,31183000,99.01945202176974,97.41258956885244,-0.000187653097228,-0.0001876707062734,0.6688423346189887,16.690000534057617,102.78744369506836,99.65665538787842,102.98495549074771,1,0,36.56267753838525,0,0,112.60773455113318,104.72655601501465,96.84537747889613,0,0,0.0569307888011934,0
2023-10-13,XOM,100.8833999633789,30276500,101.18640293233727,99.01943397323872,0.0319337039598801,0.031434424646918,0.7221346516884266,19.31999969482422,102.85393936157226,99.66741477966309,102.78480734528401,1,0,45.075778804749106,0,0,112.38588853871991,104.41298866271973,96.44008878671954,0,0,1.7139797104789927,0
2023-10-16,XOM,100.95685577392578,18452000,101.62714995915545,100.2039263221496,0.0007281258420468,0.0007278608870318,0.7233885824318054,17.209999084472656,102.91644012451172,99.68665035247803,102.61071671944038,1,0,45.26191301517551,0,0,111.98592160329851,104.05993843078613,96.13395525827376,0,0,0.08892114829075681,0
2023-10-17,XOM,102.2790756225586,19775400,102.6555438494388,100.7089425169511,0.0130968802316275,0.0130118576448858,0.7459595962884691,17.8799991607666,103.00939254760742,99.70882335662841,102.57913185307068,1,0,48.63619725656645,0,0,111.55479941437633,103.78723106384277,96.0196627133092,0,0,0.7327704044670498,0
2023-10-18,XOM,103.7114715576172,23380300,104.11548485482956,102.56371287723026,0.0140047798275433,0.0139076189917505,0.7704113760222755,19.21999931335449,103.12133880615234,99.73323024749756,102.68697372969416,1,0,52.08232873606387,0,0,111.25890520764054,103.6288402557373,95.99877530383407,0,0,0.7673021612330014,0
2023-10-19,XOM,103.7757568359375,20972500,104.6480577293202,102.22399169813448,0.0006198473259979,0.0006196552999912,0.7715087607796192,21.399999618530277,103.20123794555664,99.77493797302246,102.79066735886019,1,0,52.23720950553706,0,0,111.13544462573991,103.54895629882813,95.96246797191635,0,0,0.03899811388351616,0
2023-10-20,XOM,101.99443817138672,22445300,104.05121994897225,101.72815729309336,-0.0171650751472419,-0.0173141028932869,0.7411006797768396,21.709999084472656,103.23531021118164,99.80635032653808,102.71483600767225,1,0,47.64198807876753,0,0,110.9280523859558,103.37174263000489,95.81543287405398,0,0,-0.8580500629730837,0
